glottal_gap,time
0.06000000000000005,0.0
0.06000000000000005,0.0001
0.05969126661931168,0.0002
0.05884035378536945,0.00030000000000000003
0.05781915573178731,0.0004
0.056903286145094656,0.0005
0.05608841930219266,0.0006000000000000001
0.05534902835318345,0.0007
0.05462293891486136,0.0008
0.05386749896550813,0.0009000000000000001
0.05305936278474466,0.001
0.05220277018277253,0.0011
0.051319454176173895,0.0012000000000000001
0.05047771578853566,0.0013000000000000002
0.04974396296435102,0.0014
0.04910361368674554,0.0015
0.048531037949378186,0.0016
0.04803034790876248,0.0017000000000000001
0.047599935244025726,0.0018000000000000002
0.04723194242992457,0.0019
0.04691075989970539,0.002
0.04661780895803935,0.0021000000000000003
0.04634018838641718,0.0022
0.04607990991905053,0.0023
0.04585931758205897,0.0024000000000000002
0.04571881894604579,0.0025
0.04570551142543322,0.0026000000000000003
0.045856250353920824,0.0027
0.046182608065145514,0.0028
0.04666552671569191,0.0029000000000000002
0.0472630328676118,0.003
0.04792723415345379,0.0031000000000000003
0.04862230275685797,0.0032
0.04933518696852279,0.0033
0.050075799323540116,0.0034000000000000002
0.050836845601321956,0.0035
0.05161403551049659,0.0036000000000000003
0.05246432105622478,0.0037
0.053437697820239105,0.0038
0.054540211995811605,0.0039000000000000003
0.055767295960362784,0.004
0.05710831012155948,0.0041
0.05855169250104164,0.004200000000000001
0.06008606984829801,0.0043
0.06169934962823165,0.0044
0.0633781389176834,0.0045000000000000005
0.06510794820379517,0.0046
0.06687399798989957,0.0047
0.06866225149469285,0.0048000000000000004
0.07046017552916284,0.0049
0.07225701071166957,0.005
0.0740434371584403,0.0051
0.0758106735544779,0.005200000000000001
0.07754931588172143,0.0053
0.07924817315200794,0.0054
0.0808935183803926,0.0055000000000000005
0.08243362030115697,0.0056
0.08374949981460289,0.0057
0.08497813853254665,0.0058000000000000005
0.08610319910584563,0.0059
0.08710512102263512,0.006
0.08796584499045546,0.0061
0.08867373726145267,0.006200000000000001
0.08903957756336534,0.0063
0.0889415240700252,0.0064
0.08876200458483152,0.006500000000000001
0.08852443798628895,0.0066
0.0882387688797942,0.0067
0.0879010129002159,0.0068000000000000005
0.08747985407652081,0.006900000000000001
0.08702409214248341,0.007
0.0865316732866861,0.0071
0.08599932193372206,0.007200000000000001
0.08542375397635782,0.0073
0.08480304874590294,0.0074
0.08413841876418926,0.007500000000000001
0.08343464002162504,0.0076
0.08264322826216741,0.0077
0.08181983258412473,0.0078000000000000005
0.08097360323736313,0.0079
0.08011019965650479,0.008
0.07923233245381722,0.0081
0.07834046400375594,0.0082
0.07728981122056666,0.0083
0.07605749774144366,0.008400000000000001
0.07456486795997774,0.0085
0.07294836282078376,0.0086
0.0713157172077229,0.008700000000000001
0.06968623119419715,0.0088
0.06807265962562137,0.0089
0.0664847167008995,0.009000000000000001
0.06492695239889557,0.0091
0.06341063167464323,0.0092
0.061955203612527154,0.009300000000000001
0.06057957963761895,0.0094
0.05929840170222289,0.0095
0.05812128564715602,0.009600000000000001
0.057053894220697954,0.0097
0.05609459929843652,0.0098
0.055079730407608274,0.0099
0.05417882452556699,0.01
0.0534041669970069,0.010100000000000001
0.05276128551628889,0.0102
0.05225036346207479,0.0103
0.0518703644724523,0.010400000000000001
0.0516191351867723,0.0105
0.05149376838537556,0.0106
0.05148999155127543,0.010700000000000001
0.05160178138861893,0.0108
0.05182118856882756,0.0109
0.05213866624290975,0.011000000000000001
0.05254364272367096,0.0111
0.05302509786546472,0.0112
0.05357186977943784,0.011300000000000001
0.054142627175792324,0.0114
0.05469479045607306,0.0115
0.05524761167120684,0.011600000000000001
0.05582307485349669,0.0117
0.05641161187203503,0.0118
0.05700085037703273,0.0119
0.057577380892693375,0.012
0.058129899256309514,0.012100000000000001
0.05864933293897279,0.0122
0.059127590707570565,0.0123
0.05955675652415526,0.012400000000000001
0.05992896133754522,0.0125
0.06023673944950114,0.0126
0.06047348779642936,0.012700000000000001
0.060633720704122096,0.0128
0.06071308598892444,0.0129
0.06070827009169055,0.013000000000000001
0.06061685726975152,0.0131
0.06043731131464214,0.0132
0.06016898527380288,0.013300000000000001
0.059812220877523026,0.0134
0.05936838966257185,0.0135
0.05883994936544612,0.013600000000000001
0.05823042308068738,0.0137
0.057544409478555325,0.013800000000000002
0.056787564810475866,0.013900000000000001
0.055966637363760174,0.014
0.055089461694385555,0.014100000000000001
0.054164927053448775,0.0142
0.05320282060913817,0.0143
0.05221359763175659,0.014400000000000001
0.051208088867772394,0.0145
0.050231905389612086,0.0146
0.04932930628620835,0.014700000000000001
0.04847014202557709,0.0148
0.047623516066714666,0.0149
0.0467983673114063,0.015000000000000001
0.04600758606916311,0.0151
0.04526521110482906,0.0152
0.044582559440335956,0.015300000000000001
0.04396811318386451,0.0154
0.04342910114065268,0.0155
0.04297263987640032,0.015600000000000001
0.042606115662877864,0.015700000000000002
0.0423369252319894,0.0158
0.04217193669999353,0.0159
0.0421170194202356,0.016
0.04217675452700731,0.0161
0.042354300249730636,0.0162
0.04265143033203067,0.016300000000000002
0.043068575863966396,0.0164
0.04360494835166073,0.0165
0.044258611251923874,0.0166
0.0450266269697126,0.0167
0.04590516506251907,0.016800000000000002
0.04688966363330627,0.016900000000000002
0.04797489513983533,0.017
0.049154989840960894,0.0171
0.0504233258622615,0.0172
0.05177243048128655,0.0173
0.05319392441929316,0.017400000000000002
0.05467865804473471,0.0175
0.05621697053491781,0.0176
0.05779902516751001,0.0177
0.05938556391978156,0.0178
0.06093705297979868,0.0179
0.06247544061082966,0.018000000000000002
0.06402501013675688,0.0181
0.06557883865210123,0.0182
0.06712717467001095,0.0183
0.06865899772552453,0.0184
0.07016524617354902,0.018500000000000003
0.07163893502099894,0.018600000000000002
0.07307390449833018,0.0187
0.07446381550456771,0.0188
0.07580174084012836,0.0189
0.07708029392673943,0.019
0.07829202452296513,0.019100000000000002
0.07942979541719208,0.019200000000000002
0.08048702936972285,0.0193
0.08145783961456021,0.0194
