glottal gap,time
0.06000000000000005,0.0
0.06000000000000005,0.0001
0.059537512733007336,0.0002
0.05841770972532667,0.00030000000000000003
0.057244500240853924,0.0004
0.05620517583152851,0.0005
0.055234893364745075,0.0006000000000000001
0.05433408165945797,0.0007
0.05339163588719131,0.0008
0.052348762273462635,0.0009000000000000001
0.05118783276626249,0.001
0.04992312545233646,0.0011
0.04858763053595916,0.0012000000000000001
0.047232688852153926,0.0013000000000000002
0.04590751981796326,0.0014
0.04465563748852586,0.0015
0.04350433744018378,0.0016
0.042467633322621046,0.0017000000000000001
0.04154410081764448,0.0018000000000000002
0.04072090459582878,0.0019
0.03997606065754766,0.002
0.03928851491337215,0.0021000000000000003
0.038650191836881564,0.0022
0.038080829908055724,0.0023
0.03763455543814476,0.0024000000000000002
0.03739457338051655,0.0025
0.03745178414221173,0.0026000000000000003
0.037876000536310794,0.0027
0.0386908545905722,0.0028
0.03986641290034254,0.0029000000000000002
0.04133269844851828,0.003
0.043008147171279765,0.0031000000000000003
0.04482812346914167,0.0032
0.04676178538604914,0.0033
0.04881225690815061,0.0034000000000000002
0.051004561298741535,0.0035
0.0533691630911135,0.0036000000000000003
0.05589967146267805,0.0037
0.05857992195524275,0.0038
0.061436375558239664,0.0039000000000000003
0.06447900087395309,0.004
0.06768895493323146,0.0041
0.0710474466736376,0.004200000000000001
0.07452994455092721,0.0043
0.07811060907561496,0.0044
0.08176365675008501,0.0045000000000000005
0.08546355287560858,0.0046
0.08918625353458198,0.0047
0.09290992976305046,0.0048000000000000004
0.09619992276315759,0.0049
0.09931924656464508,0.005
0.10245969952155065,0.0051
0.10519704069898572,0.005200000000000001
0.10775566823691363,0.0053
0.10972967536876344,0.0054
0.1113983420484217,0.0055000000000000005
0.11276824711231692,0.0056
0.113793356775991,0.0057
0.11444933361128107,0.0058000000000000005
0.11498616595136668,0.0059
0.11510697518152535,0.006
0.11521684788186592,0.0061
0.11501491837623246,0.006200000000000001
0.11471341085305242,0.0063
0.11442071784196217,0.0064
0.11415406063222022,0.006500000000000001
0.11392663736894026,0.0066
0.1135135223695184,0.0067
0.11316413821240534,0.0068000000000000005
0.11291024796818494,0.006900000000000001
0.11275074359580428,0.007
0.11267239609718183,0.0071
0.11265637299055586,0.007200000000000001
0.11268074979596843,0.0073
0.11272339789960728,0.0074
0.11276316323714608,0.007500000000000001
0.11278155418363811,0.0076
0.112765151661262,0.0077
0.11270688968624765,0.0078000000000000005
0.11260441203609639,0.0079
0.11245671734538054,0.008
0.11226161416716895,0.0081
0.11201499007423932,0.0082
0.11171086813880438,0.0083
0.1113414291911562,0.008400000000000001
0.11089703265580952,0.0085
0.1102067954191458,0.0086
0.10928450847063254,0.008700000000000001
0.10825714984864687,0.0088
0.10712695150945306,0.0089
0.10579236800686254,0.009000000000000001
0.10410686104140698,0.0091
0.1023284053559228,0.0092
0.1003334307940763,0.009300000000000001
0.09807759688926398,0.0094
0.09578601600885184,0.0095
0.09322078253408239,0.009600000000000001
0.0905667332936968,0.0097
0.08790576870363664,0.0098
0.08497173227091348,0.0099
0.08207080747422058,0.01
0.07922469409403077,0.010100000000000001
0.07617200747717523,0.0102
0.07319227378929438,0.0103
0.07031137082474459,0.010400000000000001
0.06751958597101437,0.0105
0.06461043182554949,0.0106
0.061823151526540276,0.010700000000000001
0.05918338337476037,0.0108
0.056702426817109464,0.0109
0.05428201637985075,0.011000000000000001
0.05183129701394251,0.0111
0.04954404434008364,0.0112
0.04744374632923587,0.011300000000000001
0.045538080132027314,0.0114
0.04382977019516465,0.0115
0.042322477579811,0.011600000000000001
0.04099849449704451,0.0117
0.0395684579048694,0.0118
0.03836053406850626,0.0119
0.03741621988374666,0.012
0.036748278869662476,0.012100000000000001
0.03635813440896607,0.0122
0.036246589414637764,0.0123
0.03640942971612038,0.012400000000000001
0.03683921028818293,0.0125
0.037523439564512984,0.0126
0.038444660300097855,0.012700000000000001
0.03958049345060077,0.0128
0.040905005041579345,0.0129
0.042389749002577526,0.013000000000000001
0.04400517774073487,0.0131
0.04572154851120058,0.0132
0.047509768274710096,0.013300000000000001
0.0493417860259171,0.0134
0.051190908399150414,0.0135
0.0530318693668661,0.013600000000000001
0.054840901529811026,0.0137
0.05656846759088374,0.013800000000000002
0.05817019771043075,0.013900000000000001
0.05965483053245868,0.014
0.061025928494495285,0.014100000000000001
0.06226768075382594,0.0142
0.06337007095814085,0.0143
0.06432263160440999,0.014400000000000001
0.0651179098211575,0.0145
0.06575144254210852,0.0146
0.06622033887762602,0.014700000000000001
0.06652284938517716,0.0148
0.06665804246684037,0.0149
0.06662598130936326,0.015000000000000001
0.06642803520572205,0.0151
0.0660670926749074,0.0152
0.06554777706290138,0.015300000000000001
0.06487647317550327,0.0154
0.06406145176098321,0.0155
0.06311292131919943,0.015600000000000001
0.06206726722425859,0.015700000000000002
0.0609571715020405,0.0158
0.05976920505105854,0.0159
0.05849984403633646,0.016
0.05716790151835305,0.0161
0.05579058838079076,0.0162
0.05438884090273688,0.016300000000000002
0.05298390850187351,0.0164
0.0515972742038604,0.0165
0.05025134177688928,0.0166
0.048969203458052224,0.0167
0.04777431859922454,0.016800000000000002
0.046689955508471215,0.016900000000000002
0.04573869261651531,0.017
0.04494209980086561,0.0171
0.0443203812845232,0.0172
0.043892081329369725,0.0173
0.04367362076255743,0.017400000000000002
0.04367887317375985,0.0175
0.04391873369522581,0.0176
0.04440088005266474,0.0177
0.04512967117391886,0.0178
0.04610624139931274,0.0179
0.047328656653321755,0.018000000000000002
0.04879209721472533,0.0181
0.0504889550666614,0.0182
0.052408882019072456,0.0183
0.05453883384338987,0.0184
0.056863240997273135,0.018500000000000003
0.05936434483769726,0.018600000000000002
0.06196951038648446,0.0187
0.06445355252096174,0.0188
0.0670615666663903,0.0189
0.06979468129751398,0.019
0.07263321806982259,0.019100000000000002
0.07555061376124728,0.019200000000000002
0.07852203534061108,0.0193
0.08146894440186159,0.0194
